lep1_pt,lep2_pt,lep3_pt,lep1_charge,lep2_charge,lep3_charge,lep1_d0,lep2_d0,lep3_d0,lep1_d0sig,lep2_d0sig,lep3_d0sig,lep1_e,lep2_e,lep3_e,lep1_eta,lep2_eta,lep3_eta,lep1_phi,lep2_phi,lep3_phi,lep1_ptvarcone30,lep2_ptvarcone30,lep3_ptvarcone30,lep1_topoetcone20,lep2_topoetcone20,lep3_topoetcone20,lep1_z0,lep2_z0,lep3_z0,jet_n,met,met_phi
21.12166,12.181476,21.74348,-1,1,-1,-0.0052737654,0.0050546317,0.005661063,-0.40234897,0.23584697,0.37945026,28.912611,16.777018,53.302853,0.8344829,0.8434063,1.5453548,0.96825856,0.9568182,0.11402861,3.0667393,0.0,0.0,104.68884,105.76787,0.7227164,-0.02325058,-0.14343071,0.05885315,4,75.15687,-2.188683
124.75205,34.633896,21.428177,-1,-1,1,0.012134653,0.17178568,0.026467154,0.68394774,2.433022,1.7512634,358.2599,97.33762,81.39629,-1.7162846,-1.6932315,-2.0099747,-2.2742572,-2.2397716,-0.8963658,0.0,57.79436,0.0,34.966686,55.377293,-0.02294281,-0.05565071,-0.2740841,0.08748245,2,78.68121,1.2346879
46.71065,18.249954,10.409247,1,-1,-1,0.01134366,-0.010432167,0.0772175,0.82242805,-0.25521952,1.346786,53.44924,70.28707,11.944831,0.53088856,-2.0242753,0.5367128,1.6512749,-1.2340903,1.685191,9.645252,0.0,57.612144,19.435122,0.06154358,32.94412,-0.004070282,-0.19903946,0.2517128,3,98.20066,-1.3488033
37.26161,36.42576,7.7754564,-1,1,1,-0.0045274035,-0.01346263,0.0015900842,-0.2881696,-0.5931549,0.07184205,66.51148,39.47621,13.9003,-1.1828185,0.40645033,-1.1846616,-1.4029676,0.74234027,-1.3956536,0.0,0.0,32.070736,21.363493,0.0059783934,34.947414,-0.07172012,0.0015106201,-0.086200714,0,105.22237,2.0405645
7.5369453,8.323933,15.4131775,-1,-1,1,0.028652681,0.023937797,0.007956046,0.7947794,0.56787026,0.5016043,34.55194,12.219362,29.501068,2.2036803,0.93321544,1.26582,0.5488188,-0.7994144,-2.6615846,13.343781,50.65916,0.0,6.434634,14.754753,0.069480225,-0.20195389,0.06794357,-0.01159668,4,100.639145,-2.8843431
76.5501,50.474823,7.105771,-1,1,1,0.09567371,-0.06410294,0.03683004,4.016709,-1.4792069,1.3305662,423.53607,110.49617,12.298669,-2.3955717,1.4198548,-1.1453309,-1.1253746,1.4479655,-0.76652837,0.0,9.49588,0.0,0.0503927,4.7728305,8.164702,0.26527977,0.56993484,11.607014,0,19.17818,-0.27547508
162.49658,10.383824,7.270854,1,1,1,-0.015460589,-0.012830716,-0.07893416,-1.1744875,-0.2583263,-1.8821306,163.61456,30.78787,19.37265,0.11723634,1.750285,1.6358995,-0.8249128,1.4932756,1.6144184,0.0,9.449236,14.019456,0.38508126,13.33059,12.195526,-0.04000473,-0.0033454895,-0.06637192,5,112.33097,-1.0564293
15.212557,9.260564,72.768555,-1,-1,1,-0.0009267732,-0.009813684,-0.0002436518,-0.039404906,-0.3375349,-0.01956057,37.461365,18.663675,148.32101,-1.5502979,-1.3257998,-1.3387688,2.490213,2.6025417,2.661531,83.25076,22.447823,0.0,-0.45479146,0.9855499,-0.28301147,0.00025177002,99.22795,-0.05039215,3,56.434986,-2.8608692
134.53317,7.1361437,9.889286,1,1,-1,-0.039858166,-0.040363796,0.09596913,-2.6849573,-0.9960313,3.4532259,154.50812,39.41344,9.892802,-0.5384063,-2.3937833,0.026665349,-2.8090198,3.043255,0.06722326,0.0,1.0726894,17.539186,-1.4179585,6.0853047,39.679707,0.027746677,32.631725,0.0130729675,0,6.9914727,-0.93774515
68.38106,23.722742,188.62666,1,-1,-1,0.0021915603,-0.00037859462,0.014559221,0.14236006,-0.0058560926,1.2139841,106.177284,36.475235,188.9942,1.0081666,0.9952913,-0.062414277,1.6378232,0.85847,-1.3281289,0.0,10.463453,0.0,39.97452,7.613677,0.370505,-0.08580017,-0.11289978,-0.10455322,2,81.84268,2.5467772
8.913882,14.025669,46.52942,-1,1,-1,-0.07443743,0.03667687,0.0053443243,-0.21748528,0.95815843,0.39966702,26.754053,42.265736,252.03813,-1.7632391,-1.7674927,-2.3740113,1.4484624,1.454322,-0.8743428,40.53544,8.416364,0.0,9.758313,15.109624,-0.011461548,0.4566269,1.0072575,0.16221046,2,32.285267,1.8991761
21.214006,10.954146,7.65165,1,-1,-1,-0.023058346,0.010511373,1.1807512,-1.0343838,0.45148885,3.1081216,84.08463,21.67637,15.641201,2.0540025,1.304647,1.3420868,-0.6938935,2.5760047,2.4621809,0.0,4.7153916,31.042952,-0.630958,20.073109,21.12166,-0.19235325,-0.05283165,48.44773,3,38.660526,-1.7787757
176.36653,24.94301,18.907677,-1,-1,-1,0.045284193,0.21417609,0.015584679,3.1259553,7.769439,0.9864176,293.1744,38.676758,29.780949,-1.0953319,-1.0063759,-1.026749,0.06483033,2.719263,2.6942112,0.0,27.000656,0.0,2.9593194,21.483988,29.742567,0.23041344,-1.4815633,-0.057490587,1,18.542025,0.6446108
47.232773,25.714941,18.869276,-1,-1,1,-0.010507715,0.018815206,0.028802928,-0.6556532,1.0847218,0.77531874,73.34589,84.98642,45.727467,1.0082763,1.8648499,1.5327339,-0.7401864,3.048446,-0.9097243,0.0,3.7360523,36.368908,2.3151875,29.614685,17.464706,0.06460571,-0.07193375,0.004196167,2,77.37094,2.9198503
38.161728,19.892796,10.696586,-1,-1,1,0.0190033,0.014869806,0.00073965685,1.4204749,0.37434033,0.03048119,41.6104,44.23399,58.968304,-0.4219971,1.437389,2.3918931,1.0375055,0.49141905,-2.6202202,0.0,10.790434,7.0388227,0.6049442,4.1352825,13.199476,0.027954102,-0.039058685,-0.17483139,1,83.29664,-2.205889
45.251575,7.439149,264.50504,1,1,1,0.014913835,0.0064198016,-0.0028125502,1.0597152,0.37072796,-0.24561082,69.315216,11.474591,698.1386,-0.9903181,-0.9994719,-1.6257167,2.7583878,2.7196457,-0.09928271,0.0,0.0,0.0,39.474552,49.738995,-0.10582251,0.024294853,0.0038814545,0.038043976,1,16.07706,-2.1924093
