lep1_pt,lep2_pt,lep3_pt,lep1_charge,lep2_charge,lep3_charge,lep1_d0,lep2_d0,lep3_d0,lep1_d0sig,lep2_d0sig,lep3_d0sig,lep1_e,lep2_e,lep3_e,lep1_eta,lep2_eta,lep3_eta,lep1_phi,lep2_phi,lep3_phi,lep1_ptvarcone30,lep2_ptvarcone30,lep3_ptvarcone30,lep1_topoetcone20,lep2_topoetcone20,lep3_topoetcone20,lep1_z0,lep2_z0,lep3_z0,jet_n,met,met_phi
37.19492,13.359429,51.17846,-1,-1,1,-0.20118093,-0.07394097,0.014290128,-13.708407,-1.7734811,0.9943261,94.93892,34.24377,164.20586,1.589418,1.5940036,1.8337284,-2.0494237,-2.0232706,-2.4645064,33.73598,57.562828,0.0,61.583263,57.00874,0.8734222,0.59912825,0.049654245,0.043049812,1,36.243088,-2.687908
186.01749,60.272163,8.765372,1,-1,1,-0.01216448,0.008874933,-0.03698322,-0.98720926,0.6137029,-1.1969236,195.53018,84.33519,25.191456,-0.31846112,0.8662381,1.7171011,1.8397423,-1.411405,-1.5385839,0.0,0.0,15.713762,0.7738312,4.56821,5.835473,0.07035065,-0.017629623,-0.30114746,1,122.74404,-0.8822981
31.875345,9.332111,46.032734,1,1,-1,0.011583215,0.29209068,-0.0010989963,0.78628916,10.582093,-0.07523476,52.11238,11.024512,136.63687,1.0744089,0.5935007,1.7514558,-1.1129415,1.1902764,1.432185,2.3383703,0.0,1.0439624,0.6323756,20.2494,-0.847892,0.08879471,0.1179409,-0.0024795532,2,83.42539,2.3312664
109.88254,8.487438,27.893492,1,1,-1,0.012782018,0.0022659753,-0.01454226,0.7969119,0.09411559,-1.0568128,187.07555,10.232861,46.532913,-1.1250509,-0.6308121,-1.0997849,-1.5879917,2.8855467,0.56526655,0.0,1.9621744,3.1310422,-1.1391828,6.61606,3.076547,0.042251587,-0.13108444,0.0025787354,0,91.25498,1.6228429
107.08282,55.71085,8.453047,1,1,1,-0.014563183,-0.08310629,0.0005755384,-0.89969957,-1.0522248,0.020773018,115.40474,140.09319,19.553297,-0.39173594,-1.57317,-1.4813789,-0.53894615,-1.016116,-0.97047013,0.0,8.488188,21.124115,0.05533734,7.6519094,59.26108,0.063396454,-0.12943125,-0.01224041,5,86.56854,-1.1888783
52.306694,11.195522,9.57494,1,1,-1,-0.027120834,0.9454896,-0.0078258095,-1.274136,27.402487,-0.29074383,262.70044,16.21517,9.575432,-2.2969751,-0.9147291,-0.010139682,-2.192419,-0.30921593,-2.9730606,0.0,15.472589,0.0,-0.32537922,14.249824,2.1744516,0.13272858,-1.1608582,0.06690216,1,43.30657,0.6303836
35.260624,28.834873,13.005501,1,1,-1,0.017584454,-0.032836333,-0.5579504,1.214002,-1.8539623,-20.12541,35.731556,31.445469,22.252438,0.1632553,0.422379,1.1311945,-0.7556377,-2.221643,1.8918803,13.410721,0.0,36.398933,14.740814,0.99511313,27.223833,0.32774806,0.030840874,0.18169022,4,61.29143,-0.023916876
46.677914,10.771227,7.968541,-1,-1,-1,0.14014329,-0.015501617,0.22654496,3.5026581,-0.5574347,2.3821568,47.316715,19.24758,19.236557,-0.16525246,-1.1841413,-1.5285022,-0.48838946,0.97566456,3.0693195,0.0,24.252443,2.9253967,0.80637133,15.61877,-0.84507287,0.045734406,-0.03040886,0.0008831024,4,95.93214,0.10163714
26.532701,7.27039,43.992855,-1,-1,-1,0.16555282,0.1344602,-0.02051148,6.4021726,3.1240752,-1.5370619,47.986088,13.0159855,82.17373,-1.1986132,-1.1863862,-1.2370815,-3.0837862,-3.0794632,1.9733588,14.444958,49.589325,0.0,19.387564,33.039146,-0.6681727,0.083390236,-0.097234726,-0.067661285,2,72.75896,-1.1099243
65.076195,18.228184,10.473078,-1,1,-1,0.015907465,-0.0014722822,-0.019048722,0.9300157,-0.08204089,-0.59059674,86.18,39.175663,14.936608,-0.7850352,1.3990976,-0.8932509,1.269226,-0.8618798,1.4687462,0.0,0.0,53.722633,-0.97294873,0.6606389,0.4619571,-0.040016174,-0.014198303,0.47120667,2,197.12656,2.1008255
15.299877,13.726581,59.206814,-1,-1,1,-0.045620922,-0.05702258,0.0060765794,-1.7963758,-2.4890578,0.49152115,31.284212,17.3861,101.90387,1.3424096,0.7148862,-1.1384712,-2.592026,-0.20228733,-0.75475484,9.914253,20.851591,0.0,13.731104,9.693266,-1.5507045,-0.031537056,-0.3045962,-0.0061736107,1,78.78113,1.29549
45.282497,7.366712,123.87331,-1,-1,1,0.008492356,-0.108670935,-0.013331135,0.28270936,-3.4125695,-1.1207837,64.603096,7.696439,208.47552,0.89372003,-0.29809082,-1.1107501,-0.24020796,2.5026262,-3.0311568,10.9209385,8.594571,0.0,3.1499326,7.9571075,-0.4947292,-0.003036499,-0.26620102,-0.04877472,0,34.9964,0.90922725
35.62811,11.164751,30.467682,-1,1,1,0.013218424,0.21932504,-0.001800189,0.7926225,7.8052273,-0.12707101,37.322254,13.113997,79.48736,0.3071765,0.58263737,1.613141,2.2967207,-2.284658,0.980747,0.0,20.174091,0.0,-0.5689054,12.932335,0.61414176,0.10073471,-0.5302086,-0.06303406,1,52.889626,1.2179102
7.382095,10.908074,15.509947,1,1,-1,-0.119899265,-0.0072978605,0.0035292923,-4.396483,-0.360301,0.20889522,9.2756815,17.618467,65.83848,0.70176625,1.0590026,-2.1246967,-1.6435071,-2.5077937,-0.09285147,49.633575,0.0,0.0,43.851593,-0.16062671,-0.47428504,0.0399065,0.0866766,-0.04289627,1,113.287,1.9568832
13.9351,8.039735,62.930264,1,-1,-1,-0.0707462,0.08369088,0.02780034,-1.1728082,1.1014768,2.1876514,16.296724,9.3988695,216.77684,-0.5742674,-0.57357275,-1.908221,-0.37636238,-0.38281715,1.4955149,8.814143,8.814143,0.0,13.164229,24.112164,0.2812346,0.017505646,-0.00891304,0.11238289,4,60.88243,1.2377958
38.510136,36.924824,31.706802,1,1,-1,0.16251001,-0.003235963,-0.015762832,9.397813,-0.24393243,-1.1961702,53.993763,65.66381,44.49732,-0.8691204,-1.1782894,-0.870472,0.84175485,-1.3133452,-0.29193336,16.882927,0.0,0.0,6.668476,-0.7358908,0.58953536,0.079099655,-0.0058784485,0.030862808,2,57.540134,-2.7866826
20.944378,93.55796,33.80849,1,1,-1,0.0006171911,-0.008142776,0.0011970465,0.037646815,-0.69299483,0.08508407,31.433922,147.78209,34.14964,0.96316445,-1.0304427,0.1419072,-2.900017,0.7788343,2.6363895,13.468241,0.0,0.0,4.522087,-0.37008643,-1.0301744,0.02015376,0.010941863,-0.21503699,1,104.80075,-2.0073519
141.91273,18.687433,8.905067,-1,1,1,-0.020594835,0.01713491,0.14085975,-1.5903136,0.71159667,1.5544466,182.98334,49.439705,43.85262,0.74355143,1.6282502,2.2768888,1.8743876,0.42614335,-2.5762167,0.0,0.0,2.1120358,-1.3183947,0.27815807,0.9145959,-0.013148308,0.056495667,0.1036644,3,72.041405,-1.6259421
41.408802,10.874304,7.259642,1,-1,1,0.007298195,0.21503793,0.14523405,0.5079703,5.3914614,9.894599,75.81089,40.45971,27.455984,-1.2132345,-1.9884824,-2.0054457,-2.038397,1.4819528,1.4587246,0.0,19.945688,19.945688,-0.84134275,37.739132,30.7465,0.055862427,-1.8064766,-0.29990005,4,37.74548,-2.9080186
