lep1_pt,lep2_pt,lep3_pt,lep1_charge,lep2_charge,lep3_charge,lep1_d0,lep2_d0,lep3_d0,lep1_d0sig,lep2_d0sig,lep3_d0sig,lep1_e,lep2_e,lep3_e,lep1_eta,lep2_eta,lep3_eta,lep1_phi,lep2_phi,lep3_phi,lep1_ptvarcone30,lep2_ptvarcone30,lep3_ptvarcone30,lep1_topoetcone20,lep2_topoetcone20,lep3_topoetcone20,lep1_z0,lep2_z0,lep3_z0,jet_n,met,met_phi
93.61782,25.033388,8.179604,-1,1,1,0.014893059,0.019979669,-0.112279505,0.9341262,0.7944752,-0.8942684,94.550446,25.471191,25.379286,0.14103584,-0.18675108,-1.7983941,-0.018836264,-2.430628,-2.5258672,0.0,0.0,8.024439,-0.67221105,0.69324607,2.2372344,0.022031784,-0.17927933,-0.64442635,3,9.0234995,1.1296822
42.777634,20.027485,13.356163,-1,1,1,0.031999968,-0.011923698,0.11329218,1.2604059,-0.5897366,5.4785132,90.47627,30.233124,14.739972,1.3809646,-0.970945,0.4513691,1.825985,1.1000388,0.08744329,0.0,0.0,4.6231227,1.2868304,-0.3718255,2.452473,-0.01274991,-0.0034537315,0.13878417,4,78.243126,0.65661716
37.392063,24.026821,7.1296334,1,-1,-1,-0.026591126,0.009738855,-0.057855736,-0.75772417,0.55799055,-2.2878401,201.85754,24.073772,8.48531,2.37056,0.06250605,0.6073035,1.1258839,2.364168,2.7928169,0.0,0.0,7.322745,0.33497182,-1.4593372,3.1910014,0.425148,0.007041931,0.33708954,3,28.545128,1.8702322
31.527742,29.364109,7.3203764,1,-1,-1,0.014221022,-0.017300634,0.053180132,0.9507107,-0.79692584,2.0888066,54.031284,40.519653,22.114365,1.1331854,-0.8461963,1.770107,-2.388992,-0.20463312,1.1615793,1.1588289,0.0,0.0,2.686106,-0.9933866,0.20208332,0.038246155,-0.026638031,0.29071808,1,5.6355577,0.1939893
23.718311,11.155556,8.822268,-1,1,1,0.02757833,0.0039066803,-0.16236675,1.1610312,0.090963185,-2.527265,61.101162,38.981934,32.533894,-1.599433,1.9231752,1.9792385,-0.8389241,-1.4828362,-0.35922614,0.0,2.0695703,0.0,1.2237408,-0.0086819455,0.15847607,-0.027290344,0.17756653,0.07447052,3,21.986097,-2.444084
63.673496,31.239902,8.105601,1,-1,-1,-0.014645204,0.03669678,0.18184316,-0.7636829,1.6518493,4.3527083,80.331375,121.71757,17.970224,0.70843714,2.0362635,1.4340569,-0.5283245,-2.3442607,1.919903,0.0,2.2407968,1.7406144,0.88529617,0.06360315,0.7510138,-0.063446045,-0.112960815,-0.31034088,0,40.43721,2.268359
49.46071,37.058506,11.753094,1,-1,-1,0.0099770855,-0.01925771,0.05187372,0.5992856,-0.9085686,2.3638976,56.9757,99.75531,15.207322,0.54449934,1.6469313,-0.74904615,-0.035163265,-2.2225084,-1.4713663,0.0,0.0,0.0,-0.041177064,-0.05008862,2.2488205,-0.018781662,-0.110910416,0.3998127,2,12.002995,0.03346079
93.6586,38.125553,14.315114,-1,1,1,-0.007347721,0.02370411,-0.18188632,-0.379476,1.2906175,-1.6680732,404.66498,101.0573,37.934105,2.1428812,1.6303025,1.6300129,-2.115112,2.7518313,2.758065,0.0,0.0,0.0,-0.70111,0.997819,4.043745,0.07143021,-0.08239746,-0.027896881,4,40.873234,0.9985688
49.119102,31.322168,9.830419,-1,1,-1,0.00058238575,-0.012785803,0.14654328,0.03691238,-0.81338644,3.1780617,127.27496,52.659145,25.45709,-1.605743,-1.1094463,-1.6051044,1.0710689,-1.8221279,1.0640962,0.0,1.6250033,0.0,0.7397611,0.55049586,3.8107,0.004293442,0.12322807,-0.025026321,1,7.4221654,-0.6433342
35.54503,24.900606,7.1822295,-1,-1,1,-0.012930435,-0.038739294,-0.055211063,-0.76300585,-2.1273303,-1.2326865,88.34238,24.953352,24.526983,-1.5603898,0.06507701,1.8991498,1.5454094,-0.82721883,-0.90061724,0.0,6.2985973,0.0,0.41393697,3.262925,0.255302,0.019115448,-0.06266785,-0.03894043,2,11.6601715,-1.0866184
