lep1_pt,lep2_pt,lep3_pt,lep1_charge,lep2_charge,lep3_charge,lep1_d0,lep2_d0,lep3_d0,lep1_d0sig,lep2_d0sig,lep3_d0sig,lep1_e,lep2_e,lep3_e,lep1_eta,lep2_eta,lep3_eta,lep1_phi,lep2_phi,lep3_phi,lep1_ptvarcone30,lep2_ptvarcone30,lep3_ptvarcone30,lep1_topoetcone20,lep2_topoetcone20,lep3_topoetcone20,lep1_z0,lep2_z0,lep3_z0,jet_n,met,met_phi
239.08485,72.23778,73.53378,1,-1,-1,-0.014197402,-0.009940352,-0.011564528,-1.0691429,-0.8019708,-0.9136579,244.83379,74.088135,100.63106,-0.21885979,0.22585887,-0.8340972,-1.4132133,-0.8507084,-2.4821784,0.0,0.0,0.0,3.5159736,1.6505585,0.9242251,-0.0024642944,0.0838933,0.018427849,1,15.282321,1.9183302
90.203415,18.546804,39.168716,-1,-1,1,-0.0053086574,0.036807783,-0.016678682,-0.44072148,2.025081,-1.2238843,313.73212,23.42141,51.557396,-1.918281,-0.7099956,-0.7757476,-2.2183647,-0.37520367,3.076542,0.0,1.8532238,0.0,0.19934684,0.08559754,-0.42523962,-0.058907986,0.03907442,0.00800705,3,66.92073,-2.83753
30.951231,9.23386,64.19198,-1,-1,1,-0.018762551,-0.007942872,-0.011478857,-1.3781708,-0.34046397,-0.9600373,39.141396,11.580948,248.28474,-0.7123204,-0.6986295,2.028699,2.6523316,0.7773698,1.913411,0.0,0.0,0.0,-1.1439219,1.8661052,0.28881177,0.011569977,0.00838089,0.05504608,2,121.71165,-0.83094656
30.206263,146.72957,39.05322,-1,1,1,0.01296808,0.0017507887,-0.006803814,0.81495297,0.14631839,-0.5054007,71.22493,182.00153,39.246323,-1.5025982,0.68019086,0.09936738,1.1081067,2.1630433,-2.5402107,0.0,0.0,0.0,0.041391663,-0.22882226,2.9242802,0.016914368,-0.041908264,-0.0002670288,2,46.747993,-0.010813489
25.06925,32.52522,36.216602,-1,1,1,-0.0037475466,0.0025811805,-0.0045478246,-0.25997216,0.16013071,-0.28311193,42.492275,33.268322,47.490818,1.119579,-0.21333277,-0.7698901,1.0645287,-2.469096,-2.4095824,0.0,0.0,0.0,1.6620747,0.45005915,-0.4045954,0.06303024,-0.021133423,-0.01786232,2,56.517483,-0.17183998
8.730522,141.39536,77.28752,1,-1,1,0.02583044,-0.008458028,-0.0077077667,1.333082,-0.7204646,-0.6221428,9.050955,162.05823,78.70155,-0.27011195,-0.5342442,0.19099385,0.9160051,0.5948534,1.0811518,0.0,0.0,0.0,1.278522,2.4979317,-0.26160583,-0.07089615,0.058681488,-0.03319931,2,15.64613,0.6326494
16.161264,9.97454,9.804863,1,-1,-1,-0.008064454,0.0119122835,-0.011222155,-0.39251888,0.6191765,-0.51651675,17.357391,9.975992,11.770744,0.38240454,0.017063804,-0.6231166,-1.2730303,-1.6735814,-1.6284908,0.0,0.0,0.0,-0.08237622,-0.13084254,1.4453422,0.05860901,-0.028316498,0.017055511,0,34.26732,1.593344
14.513189,23.037828,70.70263,1,-1,1,0.012405719,0.012358254,-0.0033803456,0.7078575,0.70855844,-0.26822913,14.589384,28.390839,311.69232,-0.10216803,-0.66913414,-2.1635618,1.2372327,1.4008504,-1.9001263,2.0148227,0.0,0.0,-0.24479689,-0.24479689,0.5482446,0.006008148,0.0054359436,-0.030879974,0,55.206375,1.1940962
82.099655,45.56116,8.566478,1,-1,-1,-0.01588346,-0.012235819,-0.03396125,-1.2115763,-0.80547976,-1.4539688,96.62761,51.19255,9.374204,-0.58646286,-0.49220973,0.4309145,-1.4916054,-2.6639786,-2.37606,0.0,0.0,0.0,-0.24806543,-0.43115705,0.4056761,-0.07757187,0.07052612,0.020881653,3,71.0395,0.21865852
31.083765,40.7515,49.372646,1,-1,1,-0.1241717,0.012228217,0.0008121697,-4.417888,0.8943685,0.0609448,38.55426,104.207756,51.19272,-0.6801185,-1.5914087,-0.2706937,2.3191087,0.6744776,2.9838424,0.0,0.0,0.0,1.1818521,0.6884972,0.5903536,0.058776855,0.040016174,0.067287445,0,62.2458,0.10153839
94.74977,66.22836,65.48335,1,-1,1,0.017643314,-0.010103994,-0.0042517423,1.3821182,-0.8309557,-0.33931386,147.0221,78.06213,66.08105,1.0072893,0.5892352,0.13499853,0.69633055,-1.7273881,-3.1047366,0.0,0.0,0.0,1.1647512,-0.03877484,2.3573084,-0.00987339,-0.06449795,-0.02046299,2,80.59867,1.330062
35.00853,9.349567,62.435123,1,1,-1,-0.009163911,-0.14848164,-0.016839415,-0.5131761,-1.0349243,-1.2926378,51.3511,25.832151,71.08403,-0.9321327,-1.6749507,-0.5204612,0.028634066,-1.2579104,-0.4895482,0.0,0.0,0.0,-0.40485153,1.2758183,-0.12890662,-0.003774643,0.122509,0.00028038025,4,47.27087,-1.6680316
52.76929,61.961494,29.451433,-1,1,-1,-0.0046941694,0.018793099,-0.02921277,-0.3222383,1.2533365,-1.9845443,56.59288,191.42262,41.133453,-0.37841812,1.7938303,0.8635863,-1.014945,-2.3921232,0.3952802,0.0,0.0,0.0,0.5628224,-0.83763146,2.266793,0.0022878647,-0.009475708,0.1054554,3,98.55426,-2.4136355
65.16349,100.22802,31.92366,1,1,-1,-0.0071548033,-0.012502003,0.011047279,-0.49631456,-0.9301161,0.77171,124.19394,104.109535,35.033085,-1.2608291,-0.2774125,-0.4378485,2.975819,0.6398647,-1.1638329,0.0,0.0,0.0,0.8322493,-0.73665965,0.35106495,0.04037857,0.02394867,-0.022964478,2,40.13885,-2.4383357
162.09023,102.03258,17.484829,-1,1,1,0.040102277,0.014475921,-0.044452693,2.5936859,0.8447437,-2.271315,278.34338,134.88855,19.410622,1.1356556,0.78240454,0.46513736,-1.811169,-1.6155511,0.32653177,0.0,0.0,1.1196368,-0.1465441,-0.7337365,2.0808372,0.031669617,0.047275543,0.04120636,0,15.480394,-2.3653855
45.066208,26.271086,20.516438,1,-1,-1,0.006919097,0.015206303,0.0056572394,0.46266398,0.61315805,0.4020002,49.316383,51.928074,24.744001,0.43096042,-1.3033557,-0.63140374,1.6146713,-2.9172528,-0.96848744,0.0,0.0,0.0,0.92670244,1.2809747,1.6414545,-0.031040192,-0.05941105,0.0049676895,2,108.603035,2.6056252
